id,long_name,short_name,def,mid,att,league_id,color1,color2,color3
1,Arsenal,Arsenal,77,80,83,1,ef0107,ffffff,
2,Aston Villa,Aston Villa,73,73,74,1,7a003c,94bee5,
3,Burnley,Burnley,68,67,69,2,661335,8dd2f1,
4,Chelsea,Chelsea,82,84,84,1,034594,ffffff,
5,Crystal Palace,Crystal Palace,73,74,74,1,1b458f,c4122e,
6,Everton,Everton,78,77,78,1,274488,ffffff,
7,Hull City,Hull,70,72,72,1,f5a12d,000000,
8,Leicester City,Leicester,72,72,72,1,0053a0,ffffff,
9,Liverpool,Liverpool,76,80,82,1,d00027,ffffff,
10,Manchester City,Manchester City,81,83,84,1,7dbeff,00003e,
11,Manchester United,Manchester Utd,79,80,82,1,e20e0e,ffffff,
12,Newcastle United,Newcastle,75,73,78,1,000000,ffffff,2e2e2e
13,Queens Park Rangers,QPR,68,71,72,2,ffffff,005cab,
14,Southampton,Southampton,75,76,77,1,ed1a3b,ffffff,
15,Stoke City,Stoke,75,75,75,1,e03a3e,ffffff,
16,Sunderland,Sunderland,68,70,72,2,eb172b,ffffff,
17,Swansea City,Swansea,74,73,75,1,ffffff,000000,
18,Tottenham Hotspur,Tottenham,77,77,78,1,ffffff,001c58,
19,West Bromwich Albion,West Brom,72,74,75,1,ffffff,091453,
20,West Ham United,West Ham,75,75,76,1,60223b,80bfff,
21,Birmingham City,Birmingham,68,67,67,2,254ea2,ffffff,
22,Blackburn Rovers,Blackburn,67,68,70,2,1007b0,ffffff,
23,Blackpool,Blackpool,60,62,59,3,ff8e02,ffffff,
24,Bolton Wanderers,Bolton,66,66,69,2,ffffff,172442,
25,AFC Bournemouth,Bournemouth,72,72,73,1,f50c13,000000,
26,Brentford,Brentford,67,68,68,2,dc351b,ffffff,
27,Brighton & Hove Albion,Brighton,68,67,66,2,005daa,ffffff,
28,Cardiff City,Cardiff,69,66,67,2,0000cc,ffffff,
29,Charlton Athletic,Charlton,67,67,68,2,d4021d,ffffff,
30,Derby County,Derby,69,70,72,2,ffffff,000000,
31,Fulham,Fulham,68,70,68,2,ffffff,000000,
32,Huddersfield Town,Huddersfield,67,67,67,2,003990,ffffff,
33,Ipswich Town,Ipswich,68,68,68,2,3a64a2,ffffff,
34,Leeds United,Leeds,66,66,66,2,ffffff,2e4f9e,
35,Middlesbrough,Middlesbrough,68,68,70,2,d5020e,ffffff,
36,Millwall,Millwall,63,63,63,3,002060,ffffff,
37,Norwich City,Norwich,72,73,71,1,fff200,00a650,
38,Nottingham Forest,Nottingham,68,67,70,2,e53233,ffffff,
39,Reading,Reading,68,67,67,2,ffffff,004494,
40,Rotherham United,Rotherham,64,65,65,2,e44538,ffffff,
41,Sheffield Wednesday,Sheffield Wed,66,66,66,2,005fab,ffffff,
42,Watford,Watford,70,74,74,1,fbee23,ed2127,
43,Wigan Athletic,Wigan,64,65,63,3,1d59af,ffffff,
44,Wolverhampton Wanderers,Wolves,66,68,70,2,faa61a,000000,
45,Barnsley,Barnsley,62,61,61,3,de312d,ffffff,
46,Bradford City,Bradford,61,63,63,3,fbb850,84424a,
47,Bristol City,Bristol City,67,66,67,2,d3365e,ffffff,
48,Chesterfield,Chesterfield,62,62,64,3,004890,ffffff,
49,Colchester United,Colchester,61,62,65,3,2191cc,ffffff,
50,Coventry City,Coventry,63,64,62,3,9accff,003366,
51,Crawley Town,Crawley,58,60,59,4,b5312c,ffffff,
52,Crewe Alexandra,Crewe,59,59,60,3,d52c1f,ffffff,
53,Doncaster Rovers,Doncaster,60,62,65,3,d82127,ffffff,
54,Fleetwood Town,Fleetwood,61,62,59,3,db2922,ffffff,
55,Gillingham,Gillingham,60,60,60,3,1a5dad,ffffff,
56,Leyton Orient,Leyton Orient,61,60,62,4,ec1b24,ffffff,
57,Milton Keynes Dons,MK Dons,65,67,69,2,ffffff,000000,
58,Notts County,Notts County,57,58,59,4,000000,ffffff,2e2e2e
59,Oldham Athletic,Oldham,61,63,61,3,004599,ffffff,
60,Peterborough United,Peterborough,61,61,61,3,0067b4,ffffff,
61,Port Vale,Port Vale,61,62,61,3,ffffff,000000,
62,Preston North End,Preston,67,65,67,2,ffffff,061a3f,
63,Rochdale,Rochdale,59,61,62,3,015297,000000,
64,Scunthorpe United,Scunthorpe,61,60,63,3,00acdd,a83249,
65,Sheffield United,Sheffield Utd,63,63,64,3,ee2227,ffffff,
66,Swindon Town,Swindon,60,60,61,3,dc161b,ffffff,
67,Walsall,Walsall,62,62,61,3,ed1a38,ffffff,
68,Yeovil Town,Yeovil,57,58,60,4,4dac26,ffffff,
69,Accrington Stanley,Accrington,55,56,56,4,a53421,ffffff,
70,AFC Wimbledon,Wimbledon,60,59,63,4,2b4790,fff200,
71,Burton Albion,Burton,63,62,63,3,fff202,000000,
72,Bury,Bury,62,61,62,3,ffffff,57688d,
73,Cambridge United,Cambridge,58,57,59,4,fbb948,000000,
